Row Labels,CC,MAC,Manducare,Miu Spa,Miu Toys,NM,Poli,Telekonseling ,VT,Cluster
APR,0,0,0,0,0,0,1,0,0,4
SAB,1,0,0,0,0,0,0,0,0,5
AA,1,1,1,1,1,1,1,0,0,2
AAA,0,0,0,1,0,1,1,0,0,3
AAAF,0,0,0,0,0,0,1,0,0,5
AAF,0,0,1,0,0,0,1,0,0,5
AAH,0,1,0,0,0,1,0,0,0,5
AAK,0,0,0,0,0,0,1,0,0,5
AAN,0,0,0,0,0,1,1,0,0,4
AAZ,0,0,0,0,0,0,1,0,0,5
AB,0,0,0,1,0,1,1,0,0,3
AC,0,0,0,1,0,0,1,0,0,5
AD,0,1,0,1,0,1,1,0,0,0
ADB,0,0,0,0,0,0,1,0,0,5
AE,0,0,0,1,0,1,1,0,0,0
AES,0,0,0,1,0,1,1,0,0,3
AF,0,1,1,0,0,1,1,0,0,0
AFA,0,1,0,0,0,0,1,0,0,4
AFAZ,0,0,0,0,0,0,1,0,0,5
AFT,0,0,0,0,0,1,0,0,0,5
AG,0,1,1,0,1,1,1,1,0,0
AH,0,0,0,0,0,1,1,0,0,0
AI,0,0,1,1,0,1,1,0,0,0
AIA,0,0,0,0,0,0,1,0,0,5
AIH,0,0,0,0,0,1,0,0,0,5
AIS,0,0,0,0,1,0,0,0,0,5
AJ,0,0,1,1,0,0,1,0,0,5
AK,0,0,1,1,1,1,1,0,0,0
AKA,0,0,0,1,0,0,1,0,0,5
AKD,0,0,0,0,0,0,1,0,0,4
AKH,0,0,1,0,0,0,1,0,0,5
AKM,0,0,0,0,0,1,0,0,0,5
AKW,0,0,0,0,0,0,1,0,0,5
AL,0,0,0,1,0,0,1,0,0,5
ALSH,0,0,0,0,0,0,1,0,0,4
AM,1,0,1,1,1,1,1,0,0,0
AMA,0,0,0,1,0,0,1,0,0,5
AMAP,0,0,0,0,0,0,1,0,0,4
AMB,0,0,0,1,0,0,0,0,0,5
AMH,0,0,0,0,0,1,1,0,0,5
AMP,0,0,1,0,0,0,0,0,0,5
AN,0,1,1,1,0,1,1,0,0,0
ANE,0,0,0,1,0,0,0,0,0,5
ANH,0,0,0,1,0,0,0,0,0,5
ANL,0,0,0,0,0,0,1,0,0,4
ANP,0,0,0,1,0,0,0,0,0,5
ANR,0,0,0,0,0,0,1,0,0,5
ANS,0,0,0,0,0,1,1,0,0,4
ANU,0,0,0,0,0,0,1,0,0,4
AP,0,1,0,1,1,1,1,0,0,0
APA,0,0,0,1,0,0,1,0,0,0
APM,0,0,0,0,0,0,1,0,0,4
AQ,1,0,0,0,0,0,1,0,0,5
AR,0,0,1,1,0,1,1,0,0,2
ARA,0,0,0,0,0,0,1,0,0,5
ARF,0,1,0,0,0,1,0,0,0,5
ARG,0,0,0,0,0,0,1,0,0,5
ARGA,0,0,0,0,0,0,1,0,0,5
ARI,0,0,0,0,0,1,0,0,0,4
ARK,0,0,0,1,0,0,0,0,0,5
AS,0,1,1,1,1,1,1,0,0,2
ASA,0,0,0,0,1,1,1,0,0,0
ASH,0,0,0,0,0,1,0,0,0,4
ASMA,0,0,0,0,0,0,1,0,0,4
ASN,0,0,0,0,0,1,0,0,0,4
ASR,0,1,0,0,0,1,0,0,0,5
AT,1,0,0,1,1,1,1,0,0,2
ATM,0,0,0,0,0,0,1,0,0,5
ATS,0,1,0,0,0,1,0,0,0,5
AU,0,0,0,0,0,1,0,0,0,4
AV,0,0,0,0,0,1,0,0,0,3
AY,0,0,1,0,0,1,0,0,0,5
AZ,1,1,0,1,0,1,1,0,1,0
AZY,0,0,0,0,0,1,0,0,0,4
BA,0,0,1,1,0,1,1,0,0,5
BB,0,0,0,0,0,1,1,0,0,1
BC,0,0,0,0,0,0,1,0,0,5
BD,0,0,0,0,0,1,0,0,0,5
BH,0,0,1,0,0,0,1,0,0,5
BHM,0,0,0,0,0,0,1,0,0,4
BIHAF,0,0,0,0,0,1,0,0,0,5
BL,0,0,0,0,0,0,1,0,0,4
BM,0,0,1,0,0,0,0,0,0,4
BR,0,0,1,0,0,0,0,0,0,5
BS,0,1,1,0,0,1,1,0,0,1
BYNA,0,0,0,0,1,0,0,0,0,4
BZ,0,0,0,0,0,1,1,0,0,4
BZC,0,0,0,1,0,0,0,0,0,5
CA,0,0,0,0,0,1,1,0,0,4
CAB,0,0,0,0,0,0,1,0,0,4
CC,0,0,0,0,1,0,0,0,0,5
CH,0,0,0,0,0,0,1,0,0,4
CJ,0,0,0,0,0,0,1,0,0,4
CJA,0,0,0,0,0,1,0,0,0,5
CL,0,0,0,0,0,0,1,0,0,4
CM,0,0,0,0,0,1,0,0,0,5
CN,0,0,0,1,0,0,0,0,0,5
CP,0,0,0,0,0,0,1,0,0,4
CS,0,0,0,1,0,0,1,0,0,3
CSA,0,0,0,0,0,0,1,0,0,4
CSU,0,0,0,1,0,0,1,0,0,5
CT,0,0,0,0,0,0,1,0,0,5
CTZ,0,0,0,0,0,0,1,0,0,5
CVS,0,0,0,0,0,1,0,0,0,5
CZ,0,0,1,0,0,1,1,0,0,0
DA,0,0,0,0,0,1,1,0,0,3
DAR,0,0,0,0,0,1,0,0,0,4
DB,1,0,0,1,0,1,0,0,0,5
DC,0,0,0,1,0,0,0,0,0,5
DCR,0,0,0,0,0,0,1,0,0,4
DD,0,1,0,0,0,1,0,0,0,3
DF,0,0,0,0,0,0,1,0,0,4
DFH,0,0,0,0,0,0,1,0,0,5
DG,0,0,0,0,0,1,1,0,0,4
DH,0,0,0,0,0,1,1,0,0,0
DI,0,0,0,0,0,1,1,0,0,3
DID,0,0,0,0,0,0,1,0,0,4
DIN,0,0,0,0,0,0,1,0,0,4
DK,0,0,0,1,0,1,1,0,0,1
DKA,0,1,0,0,0,1,0,0,0,5
DKJ,0,1,0,0,0,1,0,0,0,5
DL,0,0,0,1,0,0,0,0,0,5
DM,0,0,0,1,1,1,0,0,0,1
DMH,0,0,0,0,0,1,0,0,0,4
DP,0,0,1,0,1,1,1,0,0,5
DPM,0,0,0,0,0,0,1,0,0,4
DR,0,0,0,1,0,1,0,0,0,3
DS,0,0,0,1,0,1,0,0,0,3
DZ,0,0,0,0,0,1,0,0,0,4
EA,0,0,1,1,0,1,1,0,0,0
