Row Labels,M,F,R,L,P,NM,NF,NR,NL,NP,Cluster
AA,371456.731,208.000,1.000,721.000,5.014,0.012,1.000,0.001,0.990,0.010,0
AAA,212000.000,4.000,263.000,399.000,214.963,0.006,0.014,0.363,0.548,0.444,0
AB,263428.571,7.000,246.000,461.000,76.185,0.008,0.029,0.339,0.633,0.158,0
AD,405750.000,20.000,24.000,645.000,47.439,0.013,0.092,0.033,0.886,0.098,0
AE,526000.000,10.000,82.000,628.000,103.941,0.017,0.043,0.113,0.863,0.215,0
AES,532857.143,7.000,182.000,457.000,140.862,0.017,0.029,0.251,0.628,0.291,0
AF,402692.308,26.000,8.000,596.000,36.888,0.013,0.121,0.011,0.819,0.076,0
AG,293125.000,8.000,68.000,585.000,126.161,0.009,0.034,0.094,0.804,0.261,0
AH,262500.000,22.000,21.000,707.000,35.467,0.008,0.101,0.029,0.971,0.073,0
AI,464857.143,35.000,31.000,694.000,33.171,0.015,0.164,0.043,0.953,0.069,0
AK,280781.250,32.000,5.000,576.000,23.091,0.009,0.150,0.007,0.791,0.048,0
AM,392142.857,42.000,17.000,681.000,23.933,0.012,0.198,0.023,0.935,0.049,0
AN,254896.552,29.000,33.000,672.000,31.601,0.008,0.135,0.046,0.923,0.065,0
AP,461583.333,12.000,40.000,543.000,53.365,0.015,0.053,0.055,0.746,0.110,0
APA,155000.000,2.000,73.000,582.000,0.000,0.005,0.005,0.101,0.799,0.000,0
AR,388924.242,66.000,38.000,610.000,17.584,0.012,0.314,0.052,0.838,0.036,0
AS,289254.717,106.000,3.000,721.000,7.900,0.009,0.507,0.004,0.990,0.016,0
ASA,195510.204,49.000,144.000,577.000,33.601,0.006,0.232,0.199,0.793,0.069,0
AT,325967.742,62.000,0.000,728.000,38.594,0.010,0.295,0.000,1.000,0.080,0
AV,726000.000,5.000,152.000,333.000,93.189,0.024,0.019,0.210,0.457,0.193,0
AZ,306851.852,27.000,21.000,696.000,31.194,0.010,0.126,0.029,0.956,0.064,0
BB,161666.667,3.000,46.000,680.000,449.720,0.005,0.010,0.063,0.934,0.930,0
BS,265714.286,7.000,89.000,593.000,212.048,0.008,0.029,0.123,0.815,0.438,0
CS,164000.000,5.000,96.000,499.000,153.841,0.005,0.019,0.132,0.685,0.318,0
CZ,884000.000,5.000,75.000,646.000,0.000,0.029,0.019,0.103,0.887,0.000,0
DA,869000.000,5.000,80.000,501.000,149.174,0.028,0.019,0.110,0.688,0.308,0
DD,671000.000,5.000,137.000,314.000,59.489,0.022,0.019,0.189,0.431,0.123,0
DH,1992500.000,8.000,58.000,670.000,74.634,0.066,0.034,0.080,0.920,0.154,0
DI,176000.000,10.000,183.000,501.000,76.492,0.005,0.043,0.252,0.688,0.158,0
DK,183750.000,4.000,28.000,542.000,175.933,0.005,0.014,0.039,0.745,0.364,0
DM,505000.000,4.000,40.000,688.000,197.414,0.016,0.014,0.055,0.945,0.408,0
DR,396666.667,3.000,147.000,515.000,55.500,0.013,0.010,0.203,0.707,0.115,0
DS,407500.000,4.000,61.000,318.000,130.088,0.013,0.014,0.084,0.437,0.269,0
EA,180272.727,22.000,5.000,681.000,32.349,0.005,0.101,0.007,0.935,0.067,0
EC,170000.000,12.000,23.000,539.000,57.477,0.005,0.053,0.032,0.740,0.119,0
EK,351666.667,3.000,14.000,698.000,483.661,0.011,0.010,0.019,0.959,1.000,0
ER,690714.286,7.000,231.000,458.000,133.947,0.022,0.029,0.319,0.629,0.277,0
EZ,230000.000,5.000,23.000,677.000,132.618,0.007,0.019,0.032,0.930,0.274,0
