Row Labels,M,F,R,L,P,NM,NF,NR,NL,NP
APR,170000.000,1.000,452.000,0.000,0.000,0.005,0.000,0.623,0.000,0.000
SAB,170000.000,1.000,206.000,0.000,0.000,0.005,0.000,0.284,0.000,0.000
AAAF,170000.000,1.000,96.000,0.000,0.000,0.005,0.000,0.132,0.000,0.000
AAF,265000.000,5.000,185.000,231.000,57.933,0.008,0.019,0.255,0.317,0.120
AAH,365000.000,2.000,282.000,0.000,0.000,0.012,0.005,0.389,0.000,0.000
AAK,1025000.000,1.000,219.000,0.000,0.000,0.034,0.000,0.302,0.000,0.000
AAN,527500.000,2.000,311.000,43.000,0.000,0.017,0.005,0.429,0.059,0.000
AAZ,170000.000,2.000,149.000,3.000,0.000,0.005,0.005,0.206,0.004,0.000
AC,1095000.000,3.000,56.000,141.000,70.004,0.036,0.010,0.077,0.194,0.145
ADB,795000.000,1.000,212.000,0.000,0.000,0.026,0.000,0.292,0.000,0.000
AFA,260000.000,2.000,358.000,87.000,0.000,0.008,0.005,0.494,0.120,0.000
AFAZ,180000.000,1.000,172.000,0.000,0.000,0.005,0.000,0.237,0.000,0.000
AFT,380000.000,1.000,18.000,0.000,0.000,0.012,0.000,0.025,0.000,0.000
AIA,170000.000,1.000,236.000,0.000,0.000,0.005,0.000,0.326,0.000,0.000
AIH,380000.000,1.000,227.000,0.000,0.000,0.012,0.000,0.313,0.000,0.000
AIS,80000.000,1.000,178.000,0.000,0.000,0.002,0.000,0.246,0.000,0.000
AJ,176571.429,7.000,9.000,126.000,21.541,0.005,0.029,0.012,0.173,0.045
AKA,155000.000,2.000,102.000,161.000,0.000,0.005,0.005,0.141,0.221,0.000
AKD,260000.000,1.000,317.000,0.000,0.000,0.008,0.000,0.437,0.000,0.000
AKH,143333.333,3.000,194.000,174.000,123.037,0.004,0.010,0.268,0.239,0.254
AKM,380000.000,1.000,74.000,0.000,0.000,0.012,0.000,0.102,0.000,0.000
AKW,170000.000,2.000,171.000,110.000,0.000,0.005,0.005,0.236,0.151,0.000
AL,200000.000,3.000,82.000,226.000,127.279,0.006,0.010,0.113,0.310,0.263
ALSH,150000.000,1.000,362.000,0.000,0.000,0.004,0.000,0.499,0.000,0.000
AMA,125000.000,2.000,0.000,124.000,0.000,0.004,0.005,0.000,0.170,0.000
AMAP,260000.000,1.000,342.000,0.000,0.000,0.008,0.000,0.472,0.000,0.000
AMB,140000.000,1.000,279.000,0.000,0.000,0.004,0.000,0.385,0.000,0.000
AMH,300000.000,2.000,67.000,99.000,0.000,0.009,0.005,0.092,0.136,0.000
AMP,79500.000,1.000,120.000,0.000,0.000,0.002,0.000,0.166,0.000,0.000
ANE,120000.000,1.000,109.000,0.000,0.000,0.003,0.000,0.150,0.000,0.000
ANH,260000.000,1.000,64.000,0.000,0.000,0.008,0.000,0.088,0.000,0.000
ANL,1225000.000,1.000,298.000,0.000,0.000,0.040,0.000,0.411,0.000,0.000
ANP,160000.000,2.000,233.000,26.000,0.000,0.005,0.005,0.321,0.036,0.000
ANR,170000.000,1.000,257.000,0.000,0.000,0.005,0.000,0.354,0.000,0.000
ANS,275000.000,2.000,338.000,3.000,0.000,0.009,0.005,0.466,0.004,0.000
ANU,180000.000,1.000,358.000,0.000,0.000,0.005,0.000,0.494,0.000,0.000
APM,170000.000,1.000,394.000,0.000,0.000,0.005,0.000,0.543,0.000,0.000
AQ,980000.000,4.000,79.000,132.000,21.703,0.032,0.014,0.109,0.181,0.045
ARA,170000.000,3.000,232.000,93.000,64.347,0.005,0.010,0.320,0.128,0.133
ARF,365000.000,2.000,252.000,0.000,0.000,0.012,0.005,0.348,0.000,0.000
ARG,697500.000,2.000,92.000,200.000,0.000,0.023,0.005,0.127,0.275,0.000
ARGA,170000.000,1.000,219.000,0.000,0.000,0.005,0.000,0.302,0.000,0.000
ARI,730000.000,1.000,320.000,0.000,0.000,0.024,0.000,0.441,0.000,0.000
