L,R,F,M
343,1,14,1083000
205,111,5,626000
0,64,1,271000
0,22,1,300000
25,92,4,4650000
0,314,1,48000
0,47,1,48000
0,124,1,50000
0,67,1,67000
0,181,1,44000
0,117,1,40000
271,94,6,684000
0,317,2,260000
0,279,1,100000
0,249,1,116000
66,234,8,867000
118,160,5,217000
0,128,1,300000
0,331,1,93000
0,276,1,83000
0,327,1,66000
0,237,1,42000
0,109,1,332000
58,121,4,356000
16,10,3,189000
0,235,1,362700
0,95,1,351000
269,44,7,338000
16,18,2,116000
0,73,1,66000
0,262,1,58000
0,286,1,32000
335,5,13,768000
114,194,5,583000
0,130,1,63000
180,6,11,5100000
0,190,1,101000
0,165,1,68000
225,117,6,263000
201,5,22,2651174
0,167,1,182000
101,191,4,414500
151,62,2,328000
0,363,1,70000
0,174,1,300000
3,300,2,140000
0,339,1,425000
0,340,1,136000
307,18,7,1508000
3,319,2,264000
0,325,1,65000
0,319,1,93000
0,144,1,585000
0,328,1,39000
0,321,1,32000
0,153,1,94000
125,70,6,1223000
0,180,1,575000
0,116,1,23000
169,3,3,211200
305,4,17,1663400
0,339,1,141000
171,80,6,824270
0,267,1,152000
301,54,5,345500
0,271,1,275000
226,127,7,351000
0,153,1,37000
0,27,1,196000
0,305,1,86000
322,27,7,1610100
89,266,12,905000
0,256,1,8000
0,99,1,255000
0,250,1,75000
0,46,1,112000
332,10,13,2474000
0,138,1,54600
0,213,1,120000
13,311,2,142000
0,104,1,171000
0,332,1,48000
0,81,1,111000
0,339,1,64000
0,142,1,180090
157,160,2,376000
0,288,1,32000
0,265,2,73000
0,359,1,71000
0,319,1,7000
0,163,1,348000
24,281,2,323000
16,297,2,336000
0,49,1,495000
354,9,28,2454300
0,353,1,99000
0,23,1,127000
0,352,1,33000
0,279,1,150000
18,144,2,249000
19,256,2,119000
325,23,9,2118300
0,262,1,72000
0,290,1,539000
0,116,1,72000
0,340,1,807000
26,108,2,182000
324,7,13,2066000
210,59,4,264000
16,301,3,154000
67,263,6,1217000
50,298,3,165000
103,11,2,222800
44,290,2,109500
9,249,2,284000
104,130,2,251000
328,30,7,251000
0,138,1,59400
0,205,2,299300
0,347,1,145000
0,308,1,35000
0,85,1,200000
0,145,1,56000
0,329,1,403000
0,331,1,39000
0,299,2,218000
0,68,1,120000
0,314,1,55000
285,4,3,212100
0,123,1,104000
190,174,5,380000
0,101,1,101000
34,255,4,140000
155,206,29,2281450
0,33,1,262000
0,362,1,50000
174,178,8,709000
0,340,1,66000
0,354,1,32000
0,16,1,32000
23,88,3,149000
298,64,5,379350
68,96,4,263100
0,300,1,6000
0,299,1,96000
0,360,1,82000
0,279,1,524000
99,264,4,947000
0,162,1,516000
0,324,1,39000
0,362,1,58000
5,354,2,103000
0,325,1,605000
0,291,1,129000
0,283,1,119000
0,124,1,41000
0,8,2,168000
0,142,1,56000
101,159,3,269000
21,342,3,117000
0,232,1,37000
