Region,slope_angle ,elevation,slope_aspect,plan_curvature,distance_to_rivers,distance_to_faults,distance_to_roads,land_use,lithology,Landslide_Susceptibility
1,1,1,2,3,1,1,1,5,1,3
2,2,2,6,3,1,3,1,4,2,3
3,2,1,8,3,3,1,3,4,1,3
4,2,2,7,1,2,1,1,5,5,3
5,3,2,7,3,2,4,1,5,3,5
6,2,5,2,3,1,5,1,3,5,4
7,3,2,7,3,1,1,1,4,2,3
8,3,3,3,3,1,2,1,3,2,4
9,3,3,8,3,1,2,1,3,2,4
10,1,2,8,2,1,2,1,3,3,3
11,2,2,8,3,2,3,2,5,1,2
12,1,1,3,2,1,1,2,5,3,1
13,1,1,8,2,2,3,4,5,1,4
14,2,3,2,1,2,4,1,3,5,4
15,3,3,8,1,1,4,1,4,3,4
16,3,1,7,2,1,3,1,4,5,5
17,1,2,8,2,1,4,3,5,1,1
18,2,2,7,2,1,3,3,5,1,5
19,2,2,7,1,1,4,1,4,5,4
20,3,2,7,2,5,3,3,5,3,5
21,1,2,7,2,3,2,1,4,2,5
22,1,2,6,2,1,1,1,5,3,5
23,1,2,4,2,3,5,1,5,1,4
24,3,4,4,3,2,1,1,4,2,3
25,2,3,3,2,5,1,1,4,1,4
26,1,2,8,2,1,1,1,5,3,3
27,2,2,6,3,2,3,1,5,1,2
28,2,3,5,3,1,4,3,3,2,4
29,3,3,6,2,2,1,1,4,1,4
30,3,3,7,3,1,3,1,4,1,4
