NO;Row Labels;M;F;R;L;P;NM;NF;NR;NL;NP
1;APR;170000;1;452;0;0;0.005;0;0.623;0;0
2;SAB;170000;1;206;0;0;0.005;0;0.284;0;0
3;AA;371456.731;208;1;721;5.014;0.012;1;0.001;0.99;0.01
4;AAA;212000;4;263;399;214.963;0.006;0.014;0.363;0.548;0.444
5;AAAF;170000;1;96;0;0;0.005;0;0.132;0;0
6;AAF;265000;5;185;231;57.933;0.008;0.019;0.255;0.317;0.12
7;AAH;365000;2;282;0;0;0.012;0.005;0.389;0;0
8;AAK;1025000;1;219;0;0;0.034;0;0.302;0;0
9;AAN;527500;2;311;43;0;0.017;0.005;0.429;0.059;0
10;AAZ;170000;2;149;3;0;0.005;0.005;0.206;0.004;0
11;AB;263428.571;7;246;461;76.185;0.008;0.029;0.339;0.633;0.158
12;AC;1095000;3;56;141;70.004;0.036;0.01;0.077;0.194;0.145
13;AD;405750;20;24;645;47.439;0.013;0.092;0.033;0.886;0.098
14;ADB;795000;1;212;0;0;0.026;0;0.292;0;0
15;AE;526000;10;82;628;103.941;0.017;0.043;0.113;0.863;0.215
16;AES;532857.143;7;182;457;140.862;0.017;0.029;0.251;0.628;0.291
17;AF;402692.308;26;8;596;36.888;0.013;0.121;0.011;0.819;0.076
18;AFA;260000;2;358;87;0;0.008;0.005;0.494;0.12;0
19;AFAZ;180000;1;172;0;0;0.005;0;0.237;0;0
20;AFT;380000;1;18;0;0;0.012;0;0.025;0;0
21;AG;293125;8;68;585;126.161;0.009;0.034;0.094;0.804;0.261
22;AH;262500;22;21;707;35.467;0.008;0.101;0.029;0.971;0.073
23;AI;464857.143;35;31;694;33.171;0.015;0.164;0.043;0.953;0.069
24;AIA;170000;1;236;0;0;0.005;0;0.326;0;0
25;AIH;380000;1;227;0;0;0.012;0;0.313;0;0
26;AIS;80000;1;178;0;0;0.002;0;0.246;0;0
27;AJ;176571.429;7;9;126;21.541;0.005;0.029;0.012;0.173;0.045
28;AK;280781.25;32;5;576;23.091;0.009;0.15;0.007;0.791;0.048
29;AKA;155000;2;102;161;0;0.005;0.005;0.141;0.221;0
30;AKD;260000;1;317;0;0;0.008;0;0.437;0;0
31;AKH;143333.333;3;194;174;123.037;0.004;0.01;0.268;0.239;0.254
32;AKM;380000;1;74;0;0;0.012;0;0.102;0;0
33;AKW;170000;2;171;110;0;0.005;0.005;0.236;0.151;0
34;AL;200000;3;82;226;127.279;0.006;0.01;0.113;0.31;0.263
35;ALSH;150000;1;362;0;0;0.004;0;0.499;0;0
36;AM;392142.857;42;17;681;23.933;0.012;0.198;0.023;0.935;0.049
37;AMA;125000;2;0;124;0;0.004;0.005;0;0.17;0
38;AMAP;260000;1;342;0;0;0.008;0;0.472;0;0
39;AMB;140000;1;279;0;0;0.004;0;0.385;0;0
40;AMH;300000;2;67;99;0;0.009;0.005;0.092;0.136;0
41;AMP;79500;1;120;0;0;0.002;0;0.166;0;0
42;AN;254896.552;29;33;672;31.601;0.008;0.135;0.046;0.923;0.065
43;ANE;120000;1;109;0;0;0.003;0;0.15;0;0
44;ANH;260000;1;64;0;0;0.008;0;0.088;0;0
45;ANL;1225000;1;298;0;0;0.04;0;0.411;0;0
46;ANP;160000;2;233;26;0;0.005;0.005;0.321;0.036;0
47;ANR;170000;1;257;0;0;0.005;0;0.354;0;0
48;ANS;275000;2;338;3;0;0.009;0.005;0.466;0.004;0
49;ANU;180000;1;358;0;0;0.005;0;0.494;0;0
50;AP;461583.333;12;40;543;53.365;0.015;0.053;0.055;0.746;0.11
51;APA;155000;2;73;582;0;0.005;0.005;0.101;0.799;0
52;APM;170000;1;394;0;0;0.005;0;0.543;0;0
53;AQ;980000;4;79;132;21.703;0.032;0.014;0.109;0.181;0.045
54;AR;388924.242;66;38;610;17.584;0.012;0.314;0.052;0.838;0.036
55;ARA;170000;3;232;93;64.347;0.005;0.01;0.32;0.128;0.133
56;ARF;365000;2;252;0;0;0.012;0.005;0.348;0;0
